End Date,End Time,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,NV25,Status/units,O3,Status/units,PM25,Status/units,V25,Status/units
01/01/2018,01:00:00,250.5,P deg,6.4,P ms-1,3.6,P degC,7.28727,R ugm-3,13.40171,R ugm-3,24.57537,R ugm-3,11,R ugm-3 (TEOM FDMS),64.92677,R ugm-3,14.5,R ugm-3 (TEOM FDMS),3.5,R ugm-3 (TEOM FDMS)
01/01/2018,02:00:00,245.6,P deg,6.9,P ms-1,3.4,P degC,,,,,,,6.5,R ugm-3 (TEOM FDMS),64.9933,R ugm-3,8.1,R ugm-3 (TEOM FDMS),1.6,R ugm-3 (TEOM FDMS)
01/01/2018,03:00:00,240.2,P deg,7,P ms-1,3.3,P degC,1.15382,R ugm-3,5.63138,R ugm-3,7.40054,R ugm-3,2.4,R ugm-3 (TEOM FDMS),64.511,R ugm-3,4.2,R ugm-3 (TEOM FDMS),1.8,R ugm-3 (TEOM FDMS)
01/01/2018,04:00:00,242,P deg,7.7,P ms-1,3.5,P degC,0.69836,R ugm-3,4.42142,R ugm-3,5.49222,R ugm-3,3.2,R ugm-3 (TEOM FDMS),68.20305,R ugm-3,4.6,R ugm-3 (TEOM FDMS),1.4,R ugm-3 (TEOM FDMS)
01/01/2018,05:00:00,244.9,P deg,8.3,P ms-1,3.7,P degC,0.30364,R ugm-3,3.90959,R ugm-3,4.37516,R ugm-3,0.8,R ugm-3 (TEOM FDMS),69.25079,R ugm-3,3.1,R ugm-3 (TEOM FDMS),2.3,R ugm-3 (TEOM FDMS)
01/01/2018,06:00:00,242,P deg,8.2,P ms-1,3.9,P degC,0.39473,R ugm-3,2.79249,R ugm-3,3.39773,R ugm-3,2.4,R ugm-3 (TEOM FDMS),73.04262,R ugm-3,3.5,R ugm-3 (TEOM FDMS),1.1,R ugm-3 (TEOM FDMS)
01/01/2018,07:00:00,239.6,P deg,7.4,P ms-1,3.8,P degC,0.30364,R ugm-3,3.07179,R ugm-3,3.53736,R ugm-3,2.2,R ugm-3 (TEOM FDMS),73.34198,R ugm-3,3.3,R ugm-3 (TEOM FDMS),1.1,R ugm-3 (TEOM FDMS)
01/01/2018,08:00:00,237,P deg,6.6,P ms-1,3.6,P degC,0.75909,R ugm-3,7.02787,R ugm-3,8.19179,R ugm-3,4.2,R ugm-3 (TEOM FDMS),66.25724,R ugm-3,6.8,R ugm-3 (TEOM FDMS),2.6,R ugm-3 (TEOM FDMS)
01/01/2018,09:00:00,235.4,P deg,5.8,P ms-1,3.4,P degC,1.88255,R ugm-3,16.75515,R ugm-3,19.64168,R ugm-3,3,R ugm-3 (TEOM FDMS),51.08992,R ugm-3,6.3,R ugm-3 (TEOM FDMS),3.3,R ugm-3 (TEOM FDMS)
01/01/2018,10:00:00,236.8,P deg,5.3,P ms-1,4.1,P degC,3.49182,R ugm-3,21.17619,R ugm-3,26.53023,R ugm-3,7.1,R ugm-3 (TEOM FDMS),44.75357,R ugm-3,8.7,R ugm-3 (TEOM FDMS),1.6,R ugm-3 (TEOM FDMS)
01/01/2018,11:00:00,251.2,P deg,5.6,P ms-1,5.2,P degC,8.07673,R ugm-3,16.79911,R ugm-3,29.18326,R ugm-3,5.1,R ugm-3 (TEOM FDMS),49.39358,R ugm-3,9.2,R ugm-3 (TEOM FDMS),4.1,R ugm-3 (TEOM FDMS)
01/01/2018,12:00:00,269.5,P deg,6.1,P ms-1,6.3,P degC,6.012,R ugm-3,12.099,R ugm-3,21.31728,R ugm-3,7,R ugm-3 (TEOM FDMS),57.57595,R ugm-3,9.8,R ugm-3 (TEOM FDMS),2.8,R ugm-3 (TEOM FDMS)
01/01/2018,13:00:00,273.9,P deg,5.9,P ms-1,6.8,P degC,6.98364,R ugm-3,15.49633,R ugm-3,26.20442,R ugm-3,5.5,R ugm-3 (TEOM FDMS),56.82756,R ugm-3,5.7,R ugm-3 (TEOM FDMS),0.2,R ugm-3 (TEOM FDMS)
01/01/2018,14:00:00,261.8,P deg,5.4,P ms-1,6.7,P degC,7.014,R ugm-3,10.88843,R ugm-3,21.64309,R ugm-3,2.6,R ugm-3 (TEOM FDMS),59.871,R ugm-3,-0.4,R ugm-3 (TEOM FDMS),-3,R ugm-3 (TEOM FDMS)
01/01/2018,15:00:00,250.6,P deg,5.5,P ms-1,6.1,P degC,4.76709,R ugm-3,11.95989,R ugm-3,19.26933,R ugm-3,4.5,R ugm-3 (TEOM FDMS),61.81681,R ugm-3,5.3,R ugm-3 (TEOM FDMS),0.8,R ugm-3 (TEOM FDMS)
01/01/2018,16:00:00,254.6,P deg,6.7,P ms-1,5.6,P degC,4.82782,R ugm-3,14.38016,R ugm-3,21.78272,R ugm-3,5.7,R ugm-3 (TEOM FDMS),56.27874,R ugm-3,5.7,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
01/01/2018,17:00:00,278.8,P deg,7.8,P ms-1,5.9,P degC,4.85818,R ugm-3,13.35618,R ugm-3,20.80529,R ugm-3,8.5,R ugm-3 (TEOM FDMS),58.67358,R ugm-3,9.8,R ugm-3 (TEOM FDMS),1.3,R ugm-3 (TEOM FDMS)
01/01/2018,18:00:00,280.4,P deg,7.1,P ms-1,4.8,P degC,1.73073,R ugm-3,8.23761,R ugm-3,10.89136,R ugm-3,5.3,R ugm-3 (TEOM FDMS),67.05552,R ugm-3,5.3,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
01/01/2018,19:00:00,288.2,P deg,8.8,P ms-1,4.8,P degC,0.97164,R ugm-3,7.77249,R ugm-3,9.26231,R ugm-3,4.6,R ugm-3 (TEOM FDMS),69.89939,R ugm-3,4.1,R ugm-3 (TEOM FDMS),-0.5,R ugm-3 (TEOM FDMS)
01/01/2018,20:00:00,295.9,P deg,9.1,P ms-1,4.8,P degC,1.42709,R ugm-3,6.88796,R ugm-3,9.07613,R ugm-3,8.4,R ugm-3 (TEOM FDMS),72.4938,R ugm-3,6.4,R ugm-3 (TEOM FDMS),-2,R ugm-3 (TEOM FDMS)
