End Date,End Time,PM10,Status/units,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,NV25,Status/units,O3,Status/units,PM25,Status/units,V25,Status/units
01/01/2019,01:00:00,,,255.3,P deg,3.2,P ms-1,3.5,P degC,0.76957,R ugm-3,6.00319,R ugm-3,7.18319,R ugm-3,8.9,R ugm-3 (TEOM FDMS),63.79588,R ugm-3,8.7,R ugm-3 (TEOM FDMS),-0.2,R ugm-3 (TEOM FDMS)
01/01/2019,02:00:00,,,261.2,P deg,3.1,P ms-1,3.2,P degC,1.63953,R ugm-3,9.13313,R ugm-3,11.64703,R ugm-3,8.2,R ugm-3 (TEOM FDMS),60.7358,R ugm-3,9.7,R ugm-3 (TEOM FDMS),1.5,R ugm-3 (TEOM FDMS)
01/01/2019,03:00:00,,,272.6,P deg,3.7,P ms-1,3.1,P degC,0.9787,R ugm-3,8.69692,R ugm-3,10.19756,R ugm-3,6.2,R ugm-3 (TEOM FDMS),58.27444,R ugm-3,6.7,R ugm-3 (TEOM FDMS),0.5,R ugm-3 (TEOM FDMS)
01/01/2019,04:00:00,,,280.7,P deg,4.2,P ms-1,4.3,P degC,0.90341,R ugm-3,7.00373,R ugm-3,8.38894,R ugm-3,5.7,R ugm-3 (TEOM FDMS),55.63014,R ugm-3,8.2,R ugm-3 (TEOM FDMS),2.5,R ugm-3 (TEOM FDMS)
01/01/2019,05:00:00,,,286.7,P deg,4.4,P ms-1,5.6,P degC,0.45171,R ugm-3,4.27149,R ugm-3,4.9641,R ugm-3,5.3,R ugm-3 (TEOM FDMS),56.67788,R ugm-3,6.9,R ugm-3 (TEOM FDMS),1.6,R ugm-3 (TEOM FDMS)
01/01/2019,06:00:00,,,299.3,P deg,4.6,P ms-1,6.5,P degC,0.65246,R ugm-3,4.57937,R ugm-3,5.5798,R ugm-3,5.2,R ugm-3 (TEOM FDMS),55.43057,R ugm-3,5.5,R ugm-3 (TEOM FDMS),0.3,R ugm-3 (TEOM FDMS)
01/01/2019,07:00:00,,,313.2,P deg,4.6,P ms-1,7.2,P degC,0.65246,R ugm-3,5.61837,R ugm-3,6.6188,R ugm-3,6.3,R ugm-3 (TEOM FDMS),56.5781,R ugm-3,7.3,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
01/01/2019,08:00:00,,,300.3,P deg,3.3,P ms-1,6.7,P degC,0.90341,R ugm-3,8.9278,R ugm-3,10.31301,R ugm-3,8.7,R ugm-3 (TEOM FDMS),55.97939,R ugm-3,8.9,R ugm-3 (TEOM FDMS),0.2,R ugm-3 (TEOM FDMS)
01/01/2019,09:00:00,,,65.7,P deg,0,P ms-1,4.2,P degC,0.70265,R ugm-3,8.85081,R ugm-3,9.92819,R ugm-3,8.3,R ugm-3 (TEOM FDMS),55.08132,R ugm-3,7.5,R ugm-3 (TEOM FDMS),-0.8,R ugm-3 (TEOM FDMS)
01/01/2019,10:00:00,,,133.5,P deg,0.6,P ms-1,4.6,P degC,1.58097,R ugm-3,10.15929,R ugm-3,12.58341,R ugm-3,6.6,R ugm-3 (TEOM FDMS),52.98584,R ugm-3,8.5,R ugm-3 (TEOM FDMS),1.9,R ugm-3 (TEOM FDMS)
01/01/2019,11:00:00,,,341.8,P deg,2.5,P ms-1,5.8,P degC,3.53836,R ugm-3,10.89069,R ugm-3,16.3161,R ugm-3,5.2,R ugm-3 (TEOM FDMS),50.09207,R ugm-3,5.7,R ugm-3 (TEOM FDMS),0.5,R ugm-3 (TEOM FDMS)
