End Date,End Time,PM10,Status/units,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units
01/01/2023,01:00:00,5.425,R ugm-3 (FIDAS),226.7,P deg,8.5,P ms-1,7.6,P degC,0.58438,R ugm-3,3.49955,R ugm-3,4.39559,R ugm-3,71.57911,R ugm-3,3.585,R ugm-3 (Ref.eq)
01/01/2023,02:00:00,5.875,R ugm-3 (FIDAS),227.9,P deg,9.3,P ms-1,7.2,P degC,0.73048,R ugm-3,3.38825,R ugm-3,4.5083,R ugm-3,76.63488,R ugm-3,2.736,R ugm-3 (Ref.eq)
01/01/2023,03:00:00,8.75,R ugm-3 (FIDAS),227.4,P deg,8.5,P ms-1,6.8,P degC,0.27393,R ugm-3,2.62308,R ugm-3,3.0431,R ugm-3,74.98843,R ugm-3,4.245,R ugm-3 (Ref.eq)
01/01/2023,04:00:00,10.45,R ugm-3 (FIDAS),224.9,P deg,8.7,P ms-1,6.7,P degC,0.32872,R ugm-3,3.04626,R ugm-3,3.55029,R ugm-3,73.49165,R ugm-3,5.377,R ugm-3 (Ref.eq)
01/01/2023,05:00:00,10.85,R ugm-3 (FIDAS),226.6,P deg,8.8,P ms-1,6.6,P degC,0.27393,R ugm-3,2.79215,R ugm-3,3.21216,R ugm-3,72.5437,R ugm-3,5.755,R ugm-3 (Ref.eq)
01/01/2023,06:00:00,11.05,R ugm-3 (FIDAS),226.9,P deg,8.8,P ms-1,6.6,P degC,0.21914,R ugm-3,2.62256,R ugm-3,2.95857,R ugm-3,74.09036,R ugm-3,5.637,R ugm-3 (Ref.eq)
01/01/2023,07:00:00,10.675,R ugm-3 (FIDAS),223.3,P deg,8.6,P ms-1,6.5,P degC,0.21914,R ugm-3,2.4535,R ugm-3,2.78951,R ugm-3,74.28993,R ugm-3,5.613,R ugm-3 (Ref.eq)
01/01/2023,08:00:00,9.975,R ugm-3 (FIDAS),221.4,P deg,8.6,P ms-1,6.5,P degC,0.767,R ugm-3,2.79689,R ugm-3,3.97294,R ugm-3,75.78671,R ugm-3,5.024,R ugm-3 (Ref.eq)
01/01/2023,09:00:00,9.675,R ugm-3 (FIDAS),220.2,P deg,8.6,P ms-1,6.7,P degC,0.32872,R ugm-3,3.04626,R ugm-3,3.55029,R ugm-3,75.48735,R ugm-3,5.094,R ugm-3 (Ref.eq)
01/01/2023,10:00:00,11.75,R ugm-3 (FIDAS),221.9,P deg,8.9,P ms-1,6.9,P degC,1.64358,R ugm-3,3.81968,R ugm-3,6.3398,R ugm-3,73.79101,R ugm-3,5.708,R ugm-3 (Ref.eq)
